,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
37687,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,19758.4
37688,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,11781.0
37689,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,8812.4
37690,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,10458.7
37691,B6DBPI01,"Primary income, debits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,15059.5
37692,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,16657.6
37693,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,13794.3
37694,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-3888.8
37695,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-5115.6
37696,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,11079.7
37697,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,9210.7
37698,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,1496.5
37699,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,5432.7
37700,B6FATC01,"Financial account, net acquisition of financial assets",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,15921.2
37701,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,25393.6
37702,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,18662.4
37703,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,6207.1
37704,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,4685.3
37705,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,21486.8
37706,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,10925.7
37707,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,2086.1
37708,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,7662.1
37709,B6FATD01,"Financial account, net incurrence of liabilities",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,19375.8
37710,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-10574.3
37711,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-7304.2
37712,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-2662.9
37713,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-6575.7
37714,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-11341.8
37715,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-5135.2
37716,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-4135.5
37717,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-2978.5
37718,B6FADI01,"Direct investment, net",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-9061.5
37719,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-4338.3
37720,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-1054.5
37721,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-1865.0
37722,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-1133.5
37723,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-8483.6
37724,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,3656.3
37725,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-2855.9
37726,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,1656.6
37727,B6FAPI10,"Portfolio investment, net",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-3146.9
37728,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,3909.3
37729,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,1674.5
37730,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-5213.9
37731,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,787.7
37732,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,5059.3
37733,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-2621.4
37734,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,9823.1
37735,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-2232.1
37736,B6FAOI01,"Other investment, net",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,2575.2
37737,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,123326.2
37738,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,133506.4
37739,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,132787.0
37740,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,137390.3
37741,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,128848.1
37742,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,140424.8
37743,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,136718.5
37744,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,137339.7
37745,B6CRTT01,"Current account, credits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,128212.2
37746,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,134500.2
37747,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,137339.7
37748,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,139400.7
37749,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,141027.3
37750,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,139989.1
37751,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,136035.3
37752,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,137505.7
37753,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,134142.0
37754,B6DBTT01,"Current account, debits",CXCU,US-Dollar converted,Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,129194.0
37755,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-4590.1140000000005
37756,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-5943.168000000001
37757,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-9363.315
37758,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-5361.5019999999995
37759,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-5720.703
37760,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,2099.686
37761,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-2383.752
37762,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,1663.7679999999998
37763,B6BLTT01,"Current account, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,2870.0759999999996
37764,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-614.874
37765,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-4713.635
37766,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-5087.982
37767,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-3350.708
37768,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-2430.016
37769,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,2906.656
37770,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,1347.7520000000002
37771,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3387.409
37772,B6BLTD01,"Goods, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,3709.915
37773,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,110907.8
37774,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,111750.7
37775,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,113722.7
37776,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,114701.5
37777,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,113848.6
37778,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,117026.6
37779,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,116006.0
37780,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,114158.2
37781,B6CRTD01,"Goods, credits (exports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,114348.9
37782,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,111522.6
37783,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,116464.4
37784,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,118810.6
37785,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,118052.2
37786,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,116278.6
37787,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,114120.0
37788,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,114658.3
37789,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,110770.8
37790,B6DBTD01,"Goods, debits (imports)",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,110639.0
37791,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-2983.39
37792,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-2611.396
37793,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-2699.7290000000003
37794,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-2893.885
37795,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-2411.827
37796,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-1366.066
37797,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-2927.494
37798,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-1564.013
37799,B6BLSE01,"Services, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-2228.291
37800,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,7152.7080000000005
37801,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,7181.568
37802,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,7242.371999999999
37803,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,7436.853
37804,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,7933.048000000001
37805,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,8219.101
37806,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,7573.408
37807,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,7957.843000000001
37808,B6CRSE01,"Services, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,7104.446
37809,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,10136.1
37810,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,9792.963
37811,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,9942.101
37812,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,10330.74
37813,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,10344.88
37814,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,9585.166
37815,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,10500.9
37816,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,9521.856
37817,B6DBSE01,"Services, debits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,9332.737
37818,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,-8901.15
37819,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,-6864.604
37820,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,-9770.99
37821,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,-7650.456
37822,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,-9388.767
37823,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,-8174.719
37824,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,-9802.669
37825,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,-9196.347
37826,B6BLPI01,"Primary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,-8128.161999999999
37827,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,2801.6
37828,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,3458.1
37829,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,3530.4
37830,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,3157.6
37831,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,4017.8
37832,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,3645.3
37833,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,3553.2
37834,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,3031.7
37835,B6CRPI01,"Primary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,2419.2
37836,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,7909.3009999999995
37837,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,8246.466
37838,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,8195.386
37839,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,8533.546999999999
37840,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q1,Q1-2019,USD,US Dollar,6,Millions,8509.907
37841,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q2,Q2-2019,USD,US Dollar,6,Millions,8733.814
37842,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q3,Q3-2019,USD,US Dollar,6,Millions,8998.659
37843,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2019-Q4,Q4-2019,USD,US Dollar,6,Millions,9036.72
37844,B6BLSI01,"Secondary income, balance",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2020-Q1,Q1-2020,USD,US Dollar,6,Millions,9516.614
37845,B6CRSI01,"Secondary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q1,Q1-2018,USD,US Dollar,6,Millions,8158.101
37846,B6CRSI01,"Secondary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q2,Q2-2018,USD,US Dollar,6,Millions,8539.565
37847,B6CRSI01,"Secondary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q3,Q3-2018,USD,US Dollar,6,Millions,8458.586
37848,B6CRSI01,"Secondary income, credits",CXCUSA,"US-Dollar converted, Seasonally adjusted",Q,Quarterly,2018-Q4,Q4-2018,USD,US Dollar,6,Millions,8809.747
